"DATA/CZAS";"TYP";"ZLECENIE#";"TRANSAKCJA#";"ZLECENIE POWIĄZANE#";"INSTRUMENT";"JEDNOSTKI/IL.";"CENA";"TOLERANCJA CENA";"STOP LOSS";"TAKE PROFIT";"DEPOZYT ZABEZPIECZAJĄCY (PLN)";"KURS WYMIANY";"WARTOŚĆ POZYCJI (PLN)";"ZAKSIĘGOWANA KWOTA (PLN)";"SALDO (PLN)";"WARTOŚĆ WYŁĄCZAJĄC OPŁATĘ";"OPŁATA";"KOSZTY UTRZYMANIA POZYCJI - WARTOŚĆ POZYCJI";"STAWKA ZA UTRZYMANIE POZYCJI";"KOSZTY UTRZYMANIA POZYCJI (PLN)";"KOSZTY UTRZYMANIA POZYCJI - WYRÓWNANIE (PLN)";"KOSZTY UTRZYMANIA POZYCJI - SUMA (PLN)";"OPŁATA";"ZWROT %";"KIERUNEK";"WYPŁATA GDY ZYSK";"WYPŁATA GDY BEZ ZMIANY";"OTWARCIE";"WYGAŚNIĘCIE";"ROZLICZENIE";"CENA ROZLICZENIA";"WYNIK";"WYPŁATA";"TYP";"WYGAŚNIĘCIE";"CENA WYKONAWCZA";"ROZLICZENIE";"CENA ROZLICZENIA";"ZYSK";"STRATA"
"26 Sie 2020 23:00:39";"Koszty Utrzymania Pozycji";"854654399";"-";"-";"Rachunek";"-";"-";"-";"-";"-";"-";"-";"-";"-1,60";"430,56";"-";"-";"-";"-";"-";"-";"-1,60";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"26 Sie 2020 23:00:39";"Koszty Utrzymania Pozycji";"O4-86-42WK6N";"-";"-";"Złoto - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1 082,77";"-1,68305%";"-0,19";"0,00";"-0,19";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"26 Sie 2020 23:00:39";"Koszty Utrzymania Pozycji";"O4-83-42M7E9";"-";"-";"Złoto - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"813,06";"-1,68305%";"-0,14";"0,00";"-0,14";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"26 Sie 2020 23:00:39";"Koszty Utrzymania Pozycji";"O4-86-42WKHR";"-";"-";"Złoto - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"781,79";"-1,68305%";"-0,13";"0,00";"-0,13";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"26 Sie 2020 23:00:39";"Koszty Utrzymania Pozycji";"O4-83-42M25M";"-";"-";"Złoto - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1 354,45";"-1,68305%";"-0,23";"0,00";"-0,23";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"26 Sie 2020 23:00:39";"Koszty Utrzymania Pozycji";"O4-83-42M77Y";"-";"-";"Złoto - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"813,06";"-1,68305%";"-0,14";"0,00";"-0,14";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"26 Sie 2020 23:00:39";"Koszty Utrzymania Pozycji";"O4-86-42WP7Y";"-";"-";"Złoto - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"781,79";"-1,68305%";"-0,13";"0,00";"-0,13";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"26 Sie 2020 23:00:39";"Koszty Utrzymania Pozycji";"O4-86-42WKGE";"-";"-";"Złoto - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1 082,77";"-1,68305%";"-0,19";"0,00";"-0,19";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"26 Sie 2020 23:00:39";"Koszty Utrzymania Pozycji";"O4-86-42WP8K";"-";"-";"Złoto - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"781,79";"-1,68305%";"-0,13";"0,00";"-0,13";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"26 Sie 2020 23:00:39";"Koszty Utrzymania Pozycji";"O4-86-42WK8W";"-";"-";"Złoto - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1 082,77";"-1,68305%";"-0,19";"0,00";"-0,19";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"26 Sie 2020 23:00:39";"Koszty Utrzymania Pozycji";"O4-86-42WKGV";"-";"-";"Złoto - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"781,79";"-1,68305%";"-0,13";"0,00";"-0,13";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"26 Sie 2020 15:10:30";" Transakcja Kupna";"O4-86-42WP8K";"T4-86-390DLC";"-";"Złoto - Kasowy";"0,4 Jednost.";"1 915,84";"-";"1 896,66";"-";"-";"3,75337";"2 876,34";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"26 Sie 2020 15:10:21";" Transakcja Kupna";"O4-86-42WP7Y";"T4-86-390DKS";"-";"Złoto - Kasowy";"0,4 Jednost.";"1 916,34";"-";"1 897,14";"-";"-";"3,75377";"2 877,39";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"26 Sie 2020 14:25:10";" Transakcja Kupna";"O4-86-42WKHR";"T4-86-3908QG";"-";"Złoto - Kasowy";"0,4 Jednost.";"1 909,82";"-";"1 890,73";"-";"-";"3,75021";"2 864,89";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"26 Sie 2020 14:24:54";" Transakcja Kupna";"O4-86-42WKGV";"T4-86-3908PZ";"-";"Złoto - Kasowy";"0,4 Jednost.";"1 909,81";"-";"1 890,71";"-";"-";"3,74948";"2 864,31";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"26 Sie 2020 14:24:46";" Transakcja Kupna";"O4-86-42WKGE";"T4-86-3908PL";"-";"Złoto - Kasowy";"0,554 Jednost.";"1 909,66";"-";"1 890,56";"-";"-";"3,74923";"3 966,50";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"26 Sie 2020 14:22:24";" Transakcja Kupna";"O4-86-42WK8W";"T4-86-3908J4";"-";"Złoto - Kasowy";"0,554 Jednost.";"1 909,98";"-";"1 890,88";"-";"-";"3,75008";"3 968,06";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"26 Sie 2020 14:21:32";" Transakcja Kupna";"O4-86-42WK6N";"T4-86-3908GD";"-";"Złoto - Kasowy";"0,554 Jednost.";"1 910,31";"-";"1 891,19";"-";"-";"3,75034";"3 969,02";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"26 Sie 2020 14:21:28";" Zamknięcie Transakcji";"O4-86-42WK6G";"T4-86-3908G9";"O4-83-42MC3P";"Gaz Ziemny - Kasowy";"150 Jednost.";"2,486";"-";"-";"-";"-";"3,72797";"1 398,52";"70,46";"432,16";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"26 Sie 2020 14:21:28";" Zamknięcie Transakcji";"O4-86-42WK6G";"T4-86-3908G8";"O4-83-42M26H";"Gaz Ziemny - Kasowy";"150 Jednost.";"2,486";"-";"-";"-";"-";"3,72797";"1 398,52";"57,04";"361,70";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"25 Sie 2020 23:00:35";"Koszty Utrzymania Pozycji";"854216134";"-";"-";"Rachunek";"-";"-";"-";"-";"-";"-";"-";"-";"-5,19";"304,66";"-";"-";"-";"-";"-";"-";"-5,19";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"25 Sie 2020 23:00:35";"Koszty Utrzymania Pozycji";"O4-83-42M25M";"-";"-";"Złoto - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1 336,26";"-1,98377%";"-0,27";"0,00";"-0,27";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"25 Sie 2020 23:00:35";"Koszty Utrzymania Pozycji";"O4-83-42M26H";"-";"-";"Gaz Ziemny - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"366,45";"-61,49393%";"-2,30";"0,00";"-2,30";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"25 Sie 2020 23:00:35";"Koszty Utrzymania Pozycji";"O4-83-42MC3P";"-";"-";"Gaz Ziemny - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"366,45";"-61,49393%";"-2,30";"0,00";"-2,30";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"25 Sie 2020 23:00:35";"Koszty Utrzymania Pozycji";"O4-83-42M77Y";"-";"-";"Złoto - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"802,14";"-1,98377%";"-0,16";"0,00";"-0,16";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"25 Sie 2020 23:00:35";"Koszty Utrzymania Pozycji";"O4-83-42M7E9";"-";"-";"Złoto - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"802,14";"-1,98377%";"-0,16";"0,00";"-0,16";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"25 Sie 2020 17:41:05";" Zamknięcie Transakcji";"O4-86-42TV5J";"T4-86-38YWJ9";"O4-83-42MJHF";"Germany 30 - Kasowy";"0,0176 Jednost.";"13 057,31";"-";"-";"-";"-";"4,38559";"1 013,91";"18,07";"309,85";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"25 Sie 2020 17:40:55";" Zamknięcie Transakcji";"O4-86-42TV4Y";"T4-86-38YWHS";"O4-83-42M2CP";"EUR/USD";"400,00";"1,18141";"-";"-";"-";"-";"3,71228";"1 764,79";"2,87";"291,78";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"25 Sie 2020 17:27:38";" Likwidacja";"O4-86-42TSS2";"T4-86-38YVB7";"O4-83-42N13N";"Germany 30 - Kasowy";"0,0176 Jednost.";"13 082,71";"-";"-";"-";"-";"4,38373";"1 015,45";"33,07";"288,91";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"25 Sie 2020 17:27:38";" Likwidacja";"O4-86-42TSS1";"T4-86-38YVB6";"O4-86-42R2KD";"Złoto - Kasowy";"0,554 Jednost.";"1 915,43";"-";"-";"-";"-";"3,73111";"3 959,26";"-41,61";"255,84";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"25 Sie 2020 17:27:38";" Likwidacja";"O4-86-42TSS1";"T4-86-38YVB5";"O4-86-42QV7V";"Złoto - Kasowy";"0,828 Jednost.";"1 915,43";"-";"-";"-";"-";"3,73111";"5 917,45";"-74,95";"297,45";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"25 Sie 2020 17:27:38";" Likwidacja";"O4-86-42TSS1";"T4-86-38YVB4";"O4-86-42QLVN";"Złoto - Kasowy";"0,828 Jednost.";"1 915,43";"-";"-";"-";"-";"3,73111";"5 917,45";"-90,67";"372,40";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"25 Sie 2020 00:51:16";"Zmodyfikowano Stop Loss";"O4-83-42M25M";"-";"O4-83-42M25N";"Złoto - Kasowy";"0,693 Jednost.";"1 937,86";"-";"1 861,02";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"25 Sie 2020 00:51:07";"Zmodyfikowano Stop Loss";"O4-83-42M77Y";"-";"O4-83-42M77Z";"Złoto - Kasowy";"0,416 Jednost.";"1 932,72";"-";"1 869,04";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"25 Sie 2020 00:50:59";"Zmodyfikowano Stop Loss";"O4-83-42M7E9";"-";"O4-83-42M7EB";"Złoto - Kasowy";"0,416 Jednost.";"1 931,85";"-";"1 868,17";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"25 Sie 2020 00:50:47";"Zmodyfikowano Stop Loss";"O4-86-42QV7V";"-";"O4-86-42QV7W";"Złoto - Kasowy";"0,828 Jednost.";"1 939,69";"-";"1 875,38";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"25 Sie 2020 00:50:36";"Zmodyfikowano Stop Loss";"O4-86-42R2KD";"-";"O4-86-42R2KE";"Złoto - Kasowy";"0,554 Jednost.";"1 935,56";"-";"1 887,74";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 23:00:22";"Koszty Utrzymania Pozycji";"853792014";"-";"-";"Rachunek";"-";"-";"-";"-";"-";"-";"-";"-";"-6,27";"463,07";"-";"-";"-";"-";"-";"-";"-6,27";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 23:00:22";"Koszty Utrzymania Pozycji";"O4-83-42MJHF";"-";"-";"Germany 30 - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"230,02";"-2,48200%";"-0,07";"0,00";"-0,07";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 23:00:22";"Koszty Utrzymania Pozycji";"O4-83-42M2CP";"-";"-";"EUR/USD";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"400,00";"0,32594%";"-0,02";"0,00";"-0,02";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 23:00:22";"Koszty Utrzymania Pozycji";"O4-86-42QV7V";"-";"-";"Złoto - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1 597,08";"-1,98377%";"-0,32";"0,00";"-0,32";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 23:00:22";"Koszty Utrzymania Pozycji";"O4-83-42MC3P";"-";"-";"Gaz Ziemny - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"370,50";"-61,49393%";"-2,33";"0,00";"-2,33";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 23:00:22";"Koszty Utrzymania Pozycji";"O4-83-42M25M";"-";"-";"Złoto - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1 336,68";"-1,98377%";"-0,27";"0,00";"-0,27";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 23:00:22";"Koszty Utrzymania Pozycji";"O4-86-42QLVN";"-";"-";"Złoto - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1 597,08";"-1,98377%";"-0,32";"0,00";"-0,32";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 23:00:22";"Koszty Utrzymania Pozycji";"O4-83-42M7E9";"-";"-";"Złoto - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"802,39";"-1,98377%";"-0,16";"0,00";"-0,16";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 23:00:22";"Koszty Utrzymania Pozycji";"O4-83-42M77Y";"-";"-";"Złoto - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"802,39";"-1,98377%";"-0,16";"0,00";"-0,16";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 23:00:22";"Koszty Utrzymania Pozycji";"O4-83-42M26H";"-";"-";"Gaz Ziemny - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"370,50";"-61,49393%";"-2,33";"0,00";"-2,33";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 23:00:22";"Koszty Utrzymania Pozycji";"O4-83-42N13N";"-";"-";"Germany 30 - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"230,02";"-2,48200%";"-0,07";"0,00";"-0,07";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 23:00:22";"Koszty Utrzymania Pozycji";"O4-86-42R2KD";"-";"-";"Złoto - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1 068,58";"-1,98377%";"-0,22";"0,00";"-0,22";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 21:12:00";"Zmodyfikowano Stop Loss";"O4-86-42QLVN";"-";"O4-86-42QLVP";"Złoto - Kasowy";"0,828 Jednost.";"1 944,78";"-";"1 883,37";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 21:11:49";"Zmodyfikowano Stop Loss";"O4-86-42QV7V";"-";"O4-86-42QV7W";"Złoto - Kasowy";"0,828 Jednost.";"1 939,69";"-";"1 907,69";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 16:44:20";"Zmodyfikowano Stop Loss";"O4-86-42QV7V";"-";"O4-86-42QV7W";"Złoto - Kasowy";"0,828 Jednost.";"1 939,69";"-";"1 915,33";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 16:44:13";"Zmodyfikowano Stop Loss";"O4-86-42QLVN";"-";"O4-86-42QLVP";"Złoto - Kasowy";"0,828 Jednost.";"1 944,78";"-";"1 915,16";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 16:43:28";" Transakcja Kupna";"O4-86-42R2KD";"T4-86-38WKD9";"-";"Złoto - Kasowy";"0,554 Jednost.";"1 935,56";"-";"1 916,17";"-";"-";"3,72548";"3 994,83";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 16:43:21";"Odrzucono Zlecenie: brak wystarczających środków";"O4-86-42R2JV";"-";"-";"Złoto - Kasowy";"0,828 Jednost.";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 15:59:13";" Transakcja Kupna";"O4-86-42QV7V";"T4-86-38WD09";"-";"Złoto - Kasowy";"0,828 Jednost.";"1 939,69";"-";"1 920,24";"-";"-";"3,725";"5 982,58";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 15:12:57";" Transakcja Kupna";"O4-86-42QLVN";"T4-86-38W5JK";"-";"Złoto - Kasowy";"0,828 Jednost.";"1 944,78";"-";"1 925,32";"-";"-";"3,72218";"5 993,74";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 15:11:57";"Stop Loss";"O4-86-42QJMN";"T4-86-38W5GX";"-";"Złoto - Kasowy";"0,4 Jednost.";"1 943,55";"-";"-";"-";"-";"3,723";"2 894,33";"-4,99";"469,34";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 14:42:02";"Zmodyfikowano Stop Loss";"O4-86-42QJMN";"-";"O4-86-42QJMP";"Złoto - Kasowy";"0,4 Jednost.";"1 946,9";"-";"1 943,55";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 14:41:54";" Zamknięcie Transakcji";"O4-86-42QJR9";"T4-86-38W3Z9";"O4-86-42QJHS";"Złoto - Kasowy";"0,4 Jednost.";"1 948,08";"-";"-";"-";"-";"3,70555";"2 904,86";"0,00";"474,33";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 14:40:26";" Transakcja Kupna";"O4-86-42QJMN";"T4-86-38W3WC";"-";"Złoto - Kasowy";"0,4 Jednost.";"1 946,9";"-";"1 927,37";"-";"-";"3,72913";"2 904,09";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 14:39:12";" Transakcja Kupna";"O4-86-42QJHS";"T4-86-38W3SG";"-";"Złoto - Kasowy";"0,4 Jednost.";"1 948,08";"-";"1 928,55";"-";"-";"3,72952";"2 906,16";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 10:52:34";"Odrzucono Zlecenie: brak wystarczających środków";"O4-86-42Q2BL";"-";"-";"Cukier Biały - Kasowy";"2 Jednost.";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21 Sie 2020 23:00:32";"Koszty Utrzymania Pozycji";"853375694";"-";"-";"Rachunek";"-";"-";"-";"-";"-";"-";"-";"-";"-15,96";"474,33";"-";"-";"-";"-";"-";"-";"-15,96";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"21 Sie 2020 23:00:32";"Koszty Utrzymania Pozycji";"O4-83-42MC3P";"-";"-";"Gaz Ziemny - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"361,50";"-61,49393%";"-6,86";"0,00";"-6,86";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
